EPOCH,CD_L1,BEST_CDL1,CD_L2,BEST_CDL2
0,593.6034,593.6034,122.0233,122.0233
10,456.3987,456.3987,71.5704,71.5704
20,436.0238,436.0238,66.0558,66.0558
30,436.4020,436.0238,67.7832,66.0558
40,444.6806,436.0238,70.1563,66.0558
50,444.8245,436.0238,70.3166,66.0558
60,446.8122,436.0238,71.7121,66.0558
70,449.0432,436.0238,72.0434,66.0558
80,447.5004,436.0238,71.7796,66.0558
90,452.0361,436.0238,73.2234,66.0558
100,451.8086,436.0238,73.1655,66.0558
110,452.5536,436.0238,73.5773,66.0558
120,452.9994,436.0238,73.7840,66.0558
130,452.9426,436.0238,73.5869,66.0558
140,453.7864,436.0238,73.8623,66.0558
150,453.8062,436.0238,74.2235,66.0558
160,454.9166,436.0238,74.2990,66.0558
170,454.3982,436.0238,74.2237,66.0558
180,454.5945,436.0238,74.2471,66.0558
190,454.8584,436.0238,74.4615,66.0558
199,454.2482,436.0238,74.1990,66.0558
