EPOCH,CD_L1,BEST_CDL1,CD_L2,BEST_CDL2
0,1262.9408,1262.9408,505.8303,505.8303
10,560.2466,560.2466,110.6044,110.6044
20,455.9487,455.9487,74.8298,74.8298
30,454.3299,454.3299,74.9103,74.8298
40,431.1400,431.1400,68.1424,68.1424
50,430.5844,430.5844,67.9889,67.9889
60,437.6038,430.5844,70.6184,67.9889
70,437.7007,430.5844,70.0798,67.9889
80,441.5950,430.5844,71.3494,67.9889
90,445.4401,430.5844,72.7829,67.9889
100,450.2743,430.5844,74.5684,67.9889
110,450.0515,430.5844,73.9483,67.9889
120,449.2239,430.5844,73.6638,67.9889
130,453.2435,430.5844,75.4212,67.9889
140,452.8908,430.5844,75.0106,67.9889
150,454.5599,430.5844,75.5523,67.9889
160,456.3910,430.5844,76.5679,67.9889
170,458.5175,430.5844,77.0454,67.9889
180,457.5714,430.5844,76.6092,67.9889
190,457.5324,430.5844,76.4322,67.9889
199,458.1643,430.5844,76.6653,67.9889
